Category	Task	Fire	Lyuma	Astral	SaracenOne	Silent	Lito	Deepseek R1
Customization	Appearance Swapper 👗 - 3 preset outfit toggle	80	10	0	0	0	0	95
Interaction	Avatar Calibration 🤖 - Height/Scale adjustment sliders	85	0	70	0	0	0	30
Customization	Build Duplicator 🏗️ - Object copy/paste tool	80	80	70	0	0	0	80
Audio	Directional VOIP 🔊 - Distance-based voice channel clarity	60	0	100	0	0	0	90
Interface	Emergency Menu 📋 - Basic pause/glitch recovery panel	50	50	0	0	0	0	55
Social	Emote Wheel 😃 - 6-slot expression selector	30	0	0	0	0	0	80
Social	Friend List 👥 - Add/Remove contact system	60	0	100	0	0	0	90
Systems	Host Handoff 🏠 - Basic migration protocol	95	20	50	0	0	90	20
Simulation	Hunger Meter 🍎 - Time-based depletion	30	0	0	0	0	0	100
Production	Investor Demo 💵 - 5-minute feature showcase	90	0	0	0	0	0	70
Economy	Item Trade 💰 - Direct player exchange UI	90	0	0	0	0	0	100
Production	Level Streamer 🚀 - Section load/unload trigger	60	80	0	0	0	90	50
Audio	Lip Sync Prototype 🔊 - Basic viseme (FACS) triggers from audio input	70	20	0	0	0	0	80
Production	Model Importer 🎨 - FBX/GLB load test	60	0	0	0	0	80	60
Simulation	Mood Indicator 😊 - Basic emotion states UI	50	0	25	0	0	0	95
Networking	Multi-User Instance 🌐 - 10-player test environment	100	100	100	0	0	100	30
Economy	NPC Patrol 🤖 - Predefined path walking	60	0	0	0	0	0	85
Networking	Object State Sync 🔄 - Position/Rotation transmission	100	100	100	0	0	0	20
Production	Poly Budget Tool 🖌️ - Triangle counter display	70	5	0	0	0	0	60
Networking	Room Transition 🔄 - Basic join/leave mechanics	100	60	100	0	0	70	25
Systems	Rule Toggles ⚖️ - 3 configurable parameters	60	0	0	0	0	0	50
Systems	Script Console 💻 - Runtime command input	80	10	0	0	0	0	90
Interaction	Script Editing Sandbox 💻 - On-the-fly gameplay scripting	70	30	0	0	0	0	85
Simulation	Skill Progress 📈 - Experience counter display	90	70	75	0	0	0	90
Audio	Voice Chat 🔊 - Chat with voice	90	30	100	0	0	0	100
Interface	Text Chat Core 💬 - Persistent message display	90	0	100	0	0	0	100
Customization	UGC Upload 🛠️ - Basic model/texture submission	80	80	0	0	0	0	30
Interaction	VR UI Selection 🎯 - Laser pointer object interaction	100	90	100	0	0	0	70
Social	VRM Trial 🕶️ - Single-avatar import test	70	100	0	0	0	90	20
Economy	Wall Painter 🏡 - Single-surface color tool	40	0	0	0	0	0	90
