Category,Task,Archived_on,Completed_on,Notes,Effort,Created_on
Customization,Appearance Swapper 👗 - 3 preset outfit toggle,2026-01-22,, ,25,2025-04-03
Interaction,Avatar Calibration 🤖 - Height/Scale adjustment sliders,2026-01-22,, ,25,2025-03-31
Customization,Build Duplicator 🏗️ - Object copy/paste tool,2026-01-22,, ,50,2025-03-31
Audio,Directional VOIP 🔊 - Distance-based voice channel clarity,2026-01-22,, ,51,2025-03-31
Interface,Emergency Menu 📋 - Basic pause/glitch recovery panel,2026-01-22,, ,5,2025-03-31
Social,Emote Wheel 😃 - 6-slot expression selector,2026-01-22,, ,5,2025-04-03
Social,Friend List 👥 - Add/Remove contact system,2026-01-22,, ,25,2025-03-31
Systems,Host Handoff 🏠 - Basic migration protocol,2026-01-22,, ,101,2025-03-31
Simulation,Hunger Meter 🍎 - Time-based depletion,2026-01-22,, ,5,2025-03-31
Production,Investor Demo 💵 - 5-minute feature showcase,2026-01-22,, ,102,2025-03-31
Economy,Item Trade 💰 - Direct player exchange UI,2026-01-22,, ,25,2025-04-03
Production,Level Streamer 🚀 - Section load/unload trigger,2026-01-22,, ,52,2025-03-31
Audio,Lip Sync Prototype 🔊 - Basic viseme (FACS) triggers from audio input,2026-01-22,, ,50,2025-03-31
Production,Model Importer 🎨 - FBX/GLB load test,2026-01-22,, ,25,2025-04-02
Simulation,Mood Indicator 😊 - Basic emotion states UI,2026-01-22,, ,5,2025-03-31
Networking,Multi-User Instance 🌐 - 10-player test environment,2026-01-22,,"Retired: instance servers with items and adding items/players/worlds to the game so auto testing that with telemetry.",75,2025-04-03
Networking,Instance Servers with Items 🗄️ - Multi-User Instance,2026-01-22,, ,100,2025-04-08
Networking,Add Items/Players/Worlds 🌍 - Multi-User Instance,2026-01-22,, ,103,2025-04-08
Networking,Research Existing Instance Server Architecture 🔍,2026-01-22,, ,25,2025-04-08
Networking,Identify Requirements for Multi-User Instance 📋,2026-01-22,, ,5,2025-04-08
Networking,Implement Item Management within Instance Servers 🗄️,2026-01-22,, ,75,2025-04-03
Networking,Develop Functionality to Add Players to the Game 🎮,2026-01-22,, ,104,2025-04-08
Networking,Implement World Management within Instance Servers 🌍,2026-01-22,, ,75,2025-04-08
Networking,Auto-testing with Debug Logging 🛠️,2026-01-22,, ,53,2025-04-08
Networking,Investigate Prop Object Spawning within V-Sekai Game 🧪,2026-01-22,, ,50,2025-04-08
Networking,Documentation and Testing of Multi-User Instance 📖,2026-01-22,, ,25,2025-04-03
Economy,NPC Patrol 🤖 - Predefined path walking,2026-01-22,, ,25,2025-03-31
Networking,Object State Sync 🔄 - Position/Rotation transmission,2026-01-22,, ,77,2025-03-31
Production,Poly Budget Tool 🖌️ - Triangle counter display,2026-01-22,, ,25,2025-03-31
Networking,Room Transition 🔄 - Basic join/leave mechanics,2026-01-22,, ,54,2025-03-31
Systems,Rule Toggles ⚖️ - 3 configurable parameters,2026-01-22,, ,5,2025-03-31
Systems,Script Console 💻 - Runtime command input,2026-01-22,, ,29,2025-04-03
Interaction,Script Editing Sandbox 💻 - On-the-fly gameplay scripting,2026-01-22,, ,75,2025-03-31
Simulation,Skill Progress 📈 - Experience counter display,2026-01-22,, ,8,2025-03-31
Audio,Voice Chat 🔊 - Chat with voice,2026-01-22,, ,50,2025-03-31
Interface,Text Chat Core 💬 - Persistent message display,2026-01-22,, ,30,2025-03-31
Customization,UGC Upload 🛠️ - Basic model/texture submission,2026-01-22,, ,25,2025-04-03
Interaction,VR UI Selection 🎯 - Laser pointer object interaction,2026-01-22,, ,25,2025-03-31
Social,VRM Trial 🕶️ - Single-avatar import test,2026-01-22,, ,5,2025-04-02
Economy,Wall Painter 🏡 - Single-surface color tool,,,,90,2025-03-31
Systems,Uro 🌐 - Uro new Elixir/Nextjs server,,,,75,2025-03-31
Systems,SpringBoneSimulator3D 🦴 - VRM physics migration & validation,2026-01-22,,,33,2025-04-03
Systems,Uro 🌐 - Migration to Dokku backend,,,,50,2025-04-02
Systems,Self-Contained Kit 🧰 - Developer Contribution Kit,,,,34,2025-04-02
Systems,ex-marcel MIME integration 🐉 - Platform-neutral MIME detection,,,,25,2025-04-03
Customization,Godot Engine whitelist 🔧 - Sync whitelist for Godot Engine v4.5,,2026-01-22,,25,2025-04-02
Customization,V-Sekai Backpack 🎒 - User-item recommendations using jsonld,,,,50,2025-04-05
Customization,Mirror Demo Submission 🪞 - Submit a mirror demo to the asset library,,,,36,2025-04-07
Systems,Fix Desktop Camera 🎥 - Resolve camera issues in desktop V-Sekai,,,,50,2025-04-07
Systems,Unified Docker Image 🐳 - Create one image for prod and staging,,,,37,2025-04-07
Systems,"Godot Planar Reflections ✨ - Portals/Mirrors (XR compatible)",,"This is an improved version of the VR mirror available from https://github.com/cheece/godot-vr-mirror-test-g4. Use it to build portals, planar reflections or stereo compatible cameras.",50,2025-04-09
Systems,Mac platform issues 🐞 ,,"Mac needs code sign and misc bugs. Paused.",38,2025-04-15
Systems,OpenSubdiv for Humanizer 🧩 - Consider using OpenSubdiv for mesh subdivision in Humanizer,,,,50,2025-04-16
Interface,Video Player 🎬 - Stream video content from web sources,,,,39,2025-04-19
Customization,World/Avatar Base Upload 🌍 - Upload initial custom worlds and avatars,,,,25,2025-04-19
Customization,CC0 Avatar and World Upload 🎨 - Submit creative commons zero artwork,,,,25,2025-05-11
Animation,RenIK Inverse Kinematics Enhancement 🦴 - Advanced IK system with scaling support for avatar rigging,,,,75,
Systems,Saracen Code Integration 📦 - Process and integrate code contributions from Saracen,,,,41,
Networking,ENet Godot Variant Port ⚡ - Port Erlang ENet to support Godot Engine networking variant,,,,75,
Animation,Port VRM Spring Bones to SpringBoneSimulator3D modifier (Godot 4.5+),,,,42,2026-01-22
Animation,Port VRM Constraints to CopyTransformModifier3D (Godot 4.5+),,,,40,2026-01-22
Animation,Port RenIK to IKModifier3D and child classes (Godot 4.6+),,,,75,2026-01-22
