Category,Task,Vote
Systems,ex-marcel MIME integration 🐉 - Platform-neutral MIME detection,0
Systems,Uro 🌐 - Uro new Elixir/Nextjs server,0
Systems,Uro 🌐 - Migration to Dokku backend,0
Systems,Unified Docker Image 🐳 - Create one image for prod and staging,0
Systems,SpringBoneSimulator3D 🦴 - VRM physics migration & validation,0
Systems,Self-Contained Kit 🧰 - Developer Contribution Kit,0
Systems,Script Console 💻 - Runtime command input,0
Systems,Rule Toggles ⚖️ - 3 configurable parameters,0
Systems,Host Handoff 🏠 - Basic migration protocol,90
Systems,Fix Desktop Camera 🎥 - Resolve camera issues in desktop V-Sekai,0
Social,VRM Trial 🕶️ - Single-avatar import test,90
Social,Friend List 👥 - Add/Remove contact system,0
Social,Emote Wheel 😃 - 6-slot expression selector,0
Simulation,Skill Progress 📈 - Experience counter display,0
Simulation,Mood Indicator 😊 - Basic emotion states UI,0
Simulation,Hunger Meter 🍎 - Time-based depletion,0
Production,Poly Budget Tool 🖌️ - Triangle counter display,0
Production,Model Importer 🎨 - FBX/GLB load test,80
Production,Level Streamer 🚀 - Section load/unload trigger,90
Production,Investor Demo 💵 - 5-minute feature showcase,0
Networking,Room Transition 🔄 - Basic join/leave mechanics,70
Networking,Research Existing Instance Server Architecture 🔍,0
Networking,Object State Sync 🔄 - Position/Rotation transmission,0
Networking,Multi-User Instance 🌐 - 10-player test environment,100
Networking,Investigate Prop Object Spawning within V-Sekai Game 🧪,0
Networking,Instance Servers with Items 🗄️ - Multi-User Instance,0
Networking,Implement World Management within Instance Servers 🌍,0
Networking,Implement Item Management within Instance Servers 🗄️,0
Networking,Identify Requirements for Multi-User Instance 📋,0
Networking,Documentation and Testing of Multi-User Instance 📖,0
Networking,Develop Functionality to Add Players to the Game 🎮,0
Networking,Auto-testing with Debug Logging 🛠️,0
Networking,Add Items/Players/Worlds 🌍 - Multi-User Instance,0
Interface,Text Chat Core 💬 - Persistent message display,0
Interface,Emergency Menu 📋 - Basic pause/glitch recovery panel,0
Interaction,VR UI Selection 🎯 - Laser pointer object interaction,0
Interaction,Script Editing Sandbox 💻 - On-the-fly gameplay scripting,0
Interaction,Avatar Calibration 🤖 - Height/Scale adjustment sliders,0
Economy,Wall Painter 🏡 - Single-surface color tool,0
Economy,NPC Patrol 🤖 - Predefined path walking,0
Economy,Item Trade 💰 - Direct player exchange UI,0
Customization,V-Sekai Backpack 🎒 - User-item recommendations using jsonld,0
Customization,UGC Upload 🛠️ - Basic model/texture submission,0
Customization,Mirror Demo Submission 🪞 - Submit a mirror demo to the asset library,0
Customization,Godot Engine whitelist 🔧 - Sync whitelist for Godot Engine v4.5,0
Customization,Build Duplicator 🏗️ - Object copy/paste tool,0
Customization,Appearance Swapper 👗 - 3 preset outfit toggle,0
Audio,Voice Chat 🔊 - Chat with voice,0
Audio,Lip Sync Prototype 🔊 - Basic viseme (FACS) triggers from audio input,0
Audio,Directional VOIP 🔊 - Distance-based voice channel clarity,0
