Category,Task,Vote
Customization,Build Duplicator 🏗️ - Object copy/paste tool,80
Interface,Emergency Menu 📋 - Basic pause/glitch recovery panel,50
Systems,Host Handoff 🏠 - Basic migration protocol,20
Production,Level Streamer 🚀 - Section load/unload trigger,80
Networking,Multi-User Instance 🌐 - 10-player test environment,100
Production,Poly Budget Tool 🖌️ - Triangle counter display,5
Networking,Room Transition 🔄 - Basic join/leave mechanics,60
Simulation,Skill Progress 📈 - Experience counter display,70
Customization,UGC Upload 🛠️ - Basic model/texture submission,80
Interaction,VR UI Selection 🎯 - Laser pointer object interaction,90
Social,VRM Trial 🕶️ - Single-avatar import test,100
