Category,Task,Vote
Systems,ex-marcel MIME integration 🐉 - Platform-neutral MIME detection,0
Systems,Uro 🌐 - Uro new Elixir/Nextjs server,0
Systems,Uro 🌐 - Migration to Dokku backend,90
Systems,Unified Docker Image 🐳 - Create one image for prod and staging,0
Systems,SpringBoneSimulator3D 🦴 - VRM physics migration & validation,70
Systems,Self-Contained Kit 🧰 - Developer Contribution Kit,0
Systems,Script Console 💻 - Runtime command input,40
Systems,Saracen Code Integration 📦 - Process and integrate code contributions from Saracen,0
Systems,Rule Toggles ⚖️ - 3 configurable parameters,20
Systems,OpenSubdiv for Humanizer 🧩 - Consider using OpenSubdiv for mesh subdivision in Humanizer,0
Systems,Mac platform issues 🐞 ,0
Systems,Host Handoff 🏠 - Basic migration protocol,82
Systems,Godot Planar Reflections ✨ - Portals/Mirrors (XR compatible),0
Systems,Fix Desktop Camera 🎥 - Resolve camera issues in desktop V-Sekai,0
Social,VRM Trial 🕶️ - Single-avatar import test,0
Social,Friend List 👥 - Add/Remove contact system,55
Social,Emote Wheel 😃 - 6-slot expression selector,53
Simulation,Skill Progress 📈 - Experience counter display,5
Simulation,Mood Indicator 😊 - Basic emotion states UI,40
Simulation,Hunger Meter 🍎 - Time-based depletion,0
Production,Poly Budget Tool 🖌️ - Triangle counter display,10
Production,Model Importer 🎨 - FBX/GLB load test,0
Production,Level Streamer 🚀 - Section load/unload trigger,60
Production,Investor Demo 💵 - 5-minute feature showcase,8
Networking,Room Transition 🔄 - Basic join/leave mechanics,61
Networking,Research Existing Instance Server Architecture 🔍,0
Networking,Object State Sync 🔄 - Position/Rotation transmission,63
Networking,Multi-User Instance 🌐 - 10-player test environment,100
Networking,Investigate Prop Object Spawning within V-Sekai Game 🧪,0
Networking,Instance Servers with Items 🗄️ - Multi-User Instance,0
Networking,Implement World Management within Instance Servers 🌍,0
Networking,Implement Item Management within Instance Servers 🗄️,0
Networking,Identify Requirements for Multi-User Instance 📋,0
Networking,ENet Godot Variant Port ⚡ - Port Erlang ENet to support Godot Engine networking variant,0
Networking,Documentation and Testing of Multi-User Instance 📖,0
Networking,Develop Functionality to Add Players to the Game 🎮,0
Networking,Auto-testing with Debug Logging 🛠️,0
Networking,Add Items/Players/Worlds 🌍 - Multi-User Instance,0
Interface,Video Player 🎬 - Stream video content from web sources,0
Interface,Text Chat Core 💬 - Persistent message display,85
Interface,Emergency Menu 📋 - Basic pause/glitch recovery panel,58
Interaction,VR UI Selection 🎯 - Laser pointer object interaction,68
Interaction,Script Editing Sandbox 💻 - On-the-fly gameplay scripting,40
Interaction,Avatar Calibration 🤖 - Height/Scale adjustment sliders,50
Economy,Wall Painter 🏡 - Single-surface color tool,5
Economy,NPC Patrol 🤖 - Predefined path walking,5
Economy,Item Trade 💰 - Direct player exchange UI,0
Customization,World/Avatar Base Upload 🌍 - Upload initial custom worlds and avatars,0
Customization,V-Sekai Backpack 🎒 - User-item recommendations using jsonld,0
Customization,UGC Upload 🛠️ - Basic model/texture submission,65
Customization,Mirror Demo Submission 🪞 - Submit a mirror demo to the asset library,0
Customization,Godot Engine whitelist 🔧 - Sync whitelist for Godot Engine v4.5,0
Customization,CC0 Avatar and World Upload 🎨 - Submit creative commons zero artwork,0
Customization,Build Duplicator 🏗️ - Object copy/paste tool,10
Customization,Appearance Swapper 👗 - 3 preset outfit toggle,7
Audio,Voice Chat 🔊 - Chat with voice,80
Audio,Lip Sync Prototype 🔊 - Basic viseme (FACS) triggers from audio input,30
Audio,Directional VOIP 🔊 - Distance-based voice channel clarity,35
Animation,RenIK Inverse Kinematics Enhancement 🦴 - Advanced IK system with scaling support for avatar rigging,0
Animation,Port VRM Spring Bones to SpringBoneSimulator3D modifier (Godot 4.5+),0
Animation,Port VRM Constraints to CopyTransformModifier3D (Godot 4.5+),0
Animation,Port RenIK to IKModifier3D and child classes (Godot 4.6+),0
