Category,Task,Vote
Customization,Appearance Swapper 👗 - 3 preset outfit toggle,80
Interaction,Avatar Calibration 🤖 - Height/Scale adjustment sliders,85
Customization,Build Duplicator 🏗️ - Object copy/paste tool,80
Audio,Directional VOIP 🔊 - Distance-based voice channel clarity,60
Interface,Emergency Menu 📋 - Basic pause/glitch recovery panel,50
Social,Friend List 👥 - Add/Remove contact system,60
Systems,Host Handoff 🏠 - Basic migration protocol,95
Production,Investor Demo 💵 - 5-minute feature showcase,90
Economy,Item Trade 💰 - Direct player exchange UI,90
Production,Level Streamer 🚀 - Section load/unload trigger,60
Audio,Lip Sync Prototype 🔊 - Basic viseme (FACS) triggers from audio input,70
Production,Model Importer 🎨 - FBX/GLB load test,60
Networking,Multi-User Instance 🌐 - 10-player test environment,100
Economy,NPC Patrol 🤖 - Predefined path walking,60
Networking,Object State Sync 🔄 - Position/Rotation transmission,100
Production,Poly Budget Tool 🖌️ - Triangle counter display,70
Networking,Room Transition 🔄 - Basic join/leave mechanics,100
Systems,Rule Toggles ⚖️ - 3 configurable parameters,60
Systems,Script Console 💻 - Runtime command input,80
Interaction,Script Editing Sandbox 💻 - On-the-fly gameplay scripting,70
Simulation,Skill Progress 📈 - Experience counter display,90
Audio,Voice Chat 🔊 - Chat with voice,90
Interface,Text Chat Core 💬 - Persistent message display,90
Customization,UGC Upload 🛠️ - Basic model/texture submission,80
Interaction,VR UI Selection 🎯 - Laser pointer object interaction,100
Social,VRM Trial 🕶️ - Single-avatar import test,70
